Question #     Question                                                                                            Answer 
1              What dinosaur name means \“fast thief\” and lived during the Cretaceous period?                     Velociraptor
2              On which continent have the most dinosaur fossils been found?                                       North America
3              What dinosaur-themed book was turned into a blockbuster movie in 1993?                              Jurassic Park
4              What does the word “dinosaur” mean?                                                                 Terrible Lizard
5              When did dinosaurs become extinct?                                                                  65 million years ago
6              What dinosaur fossil was originally mistaken for a type of bison?                                   Triceratops
7              What is the only dinosaur lineage to survive the mass extinction event?                             Birds
8              How did most dinosaurs reproduce?                                                                   Lay Eggs
9              What was known as the biggest dinosaur?                                                             Dreadnoughtus
10             How many horns did Triceratops have?                                                                Three
11             How many legs did the earliest dinosaurs walk on?                                                   Two
12             How many claws did a velociraptor have on each hand?                                                Three
13             At the beginning of the Triassic period, how many continents were there?                            One
14             For how many years did dinosaurs rule the earth?                                                    165 million years
15             What kind of dinosaur is the Toronto-based NBA basketball team named after?                         Toronto Raptors
16             What is the nickname of the most complete T-rex specimen ever discovered?                           Sue
17             What was the first carnivorous dinosaur to be discovered in Antarctica?                             Cryolophosaurus
18             What did Ankylosaurus have on the end of its tail?                                                  A Club
19             How many teeth did Triceratops have?                                                                800 Teeth
20             How many species of dinosaurs appeared in Michael Crichton’s 1990 novel, Jurassic Park?             Fifteen
